case_no,alert_key,alert_date,alert_url,source_format,case_source,vehicle_type,last_seen,discovered_missing,window_hours,within_window,location_raw,zone_id,needs_review,narrative_text
26-0824-0005,clery-26-0824-0005,8/24/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,UPD,bike,2026-07-15T12:00:00,2026-08-17T23:59:00,803.98,False,"Park West A (503 George Bush Dr W, College Station)",,False,Theft >=$100<$750 (Bicycle) -- Active
26-0808-0006,clery-26-0808-0006,8/8/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,UPD,ebike,2026-08-07T18:00:00,2026-08-08T10:00:00,16.0,True,"White Creek Apartments (225 Discovery Dr, College Station)",,False,"Clery- Motor Vehicle Theft/ Theft of Property>=$750<$2,500 (Electric Bicycle) -- Active"
26-0801-0003,clery-26-0801-0003,8/1/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,UPD,bike,2026-07-12T16:00:00,2026-07-19T16:00:00,168.0,True,"100 Park (170 Century Square Dr, College Station)",,False,Theft >=$100<$750 (Bicycle) -- Active
26-0729-0006,clery-26-0729-0006,7/29/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,UPD,bike,2026-07-29T15:22:00,2026-07-29T15:22:00,0.0,True,"Park West, outside of Hillside 5 (503 George Bush Dr W, Ste E, College Station)",,False,Theft of Property >=$100<$750 (Bicycle) -- Active
26-0723-0003,clery-26-0723-0003,7/23/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,UPD,ebike,2026-05-08T12:00:00,2026-07-18T13:00:00,1705.0,False,"Bike Rack outside Polo Road Garage (300 Polo Road, College Station)",,False,Clery- Motor Vehicle Theft/ Theft of Property >=$100<$750 (Electric Bicycle -- Active
26-0721-0007,clery-26-0721-0007,7/21/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,UPD,ebike,2026-07-21T16:42:00,2026-07-21T16:42:00,0.0,True,"Park West, Hillside 2, (503 George Bush Dr W, Ste B, College Station)",,False,Clery- Motor Vehicle Theft/ Theft of Property >=$100<$750 (Electric Bike) -- Active
26-0720-0001,clery-26-0720-0001,7/20/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,UPD,ebike,2026-07-20T05:46:00,2026-07-20T05:46:00,0.0,True,"Bike racks outside of Zachry Engineering Education Complex (125 Spence St, College Station)",,False,Clery- Motor Vehicle Theft/ Theft of Property >=$100<$750 (Electric Bike) -- Active
26-0720-0005,clery-26-0720-0005,7/20/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,UPD,ebike,2026-07-20T11:55:00,2026-07-20T11:55:00,0.0,True,"Bike racks outside of Reed Arena (730 Olsen Bl, College Station)",,False,Attempted Clery- Motor Vehicle Theft/ Theft of Property >=$2500 <$30K (Electric Bike) -- Active
26-0715-0004,clery-26-0715-0004,7/15/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,UPD,ebike,2026-05-14T10:30:00,2026-07-11T14:45:00,1396.25,False,"Park West Tower 3 (503 George Bush Dr, College Station TX)",,False,Clery- Motor Vehicle Theft/ Theft of Property >=$100<$750 (Electric Bicycle) -- Active
26-0706-0002,clery-26-0706-0002,7/6/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,UPD,bike,2026-07-02T12:00:00,2026-07-05T21:00:00,81.0,True,"U-Centre (907 Cross St, College station TX)",,False,Theft of Property $100<$750 (Bicycles) -- Active
26-0702-0004,clery-26-0702-0004,7/2/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,UPD,bike,2026-06-09T14:00:00,2026-07-02T14:00:00,552.0,False,"White Creek Apartments B (225 Discovery Dr, College Station)",,False,Theft of Property $100<$750 (Bicycles) -- Active
26-0630-0006,clery-26-0630-0006,6/30/2026,https://clery.tamu.edu/CrimeLog/College_Station,clery,UPD,bike,2026-06-30T09:00:00,2026-06-30T12:30:00,3.5,True,"Koldus Building (400 Joe Routt Bl, College Station)",,False,Theft of Property $100<$750 (Electronic Bike) / Clery Motor Vehicle Theft -- Unfounded
