case_no,alert_key,alert_date,alert_url,source_format,vehicle_type,last_seen,discovered_missing,window_hours,within_window,location_raw,zone_id,needs_review,narrative_text,case_source
25-0203-0004,2-3-2025,2025-02-03,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/02/2-3-2025.html,narrative,escooter,2025-02-03T12:30:00,2025-02-03T13:30:00,1.0,True,the bike racks behind Zachry Engineering Education Complex,,False,"On Feb. 3, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen electric scooter. The victim parked their scooter at the bike racks behind Zachry Engineering Education Complex at approximately 12:30 p.m. on Feb. 3, 2025. The scooter was secured to the bike racks. The victim returned at approximately 1:30 p.m. on Feb. 3, 2025, to find the scooter missing. The scooter is described as a black Hiboy electric scooter. ",
25-0217-0010,2-17-2025,2025-02-17,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/02/2-17-2025.html,narrative,unknown,2025-02-17T09:00:00,,,,"PA 97 at the Motorcycle Parking Area, east of the AgriLife Building",,True,"On Feb. 17, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen vehicle. The victim parked her vehicle, described as a white 2019 Wolf Jet moped, in PA 97 at the Motorcycle Parking Area, east of the AgriLife Building, on Feb. 17, 2025, at 9 a.m. The victim realized that the vehicle was missing at approximately 1:45 p.m. ",
25-0219-0004,2-21-2025,2025-02-22,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/02/2-21-2025.html,narrative,unknown,2025-02-18T17:45:00,2025-02-19T14:00:00,20.25,True,PA 122A near White Creek Apartments,,True,"On Feb. 19, 2025, the Texas A&M University Police Department (UPD) received a report of a n attempted motor vehicle theft . The victim parked h is black 2015 Yamaha R3 motorcycle in PA 122A near White Creek Apartments on Feb. 18, 2025, at 5 : 45 p. m. The victim returned to his motorcycle on Feb. 19, 2025, at approximately 2 p.m., and realized that the ignition lock cylinder had been damaged. ",
25-0301-0005,3-1-2025,2025-03-02,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/03/3-1-2025.html,narrative,escooter,2025-02-02T08:00:00,2025-03-01T10:00:00,650.0,False,the bike racks by Lechner Hall,,False,"On March 1, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen electric scooter. The victim parked his scooter at the bike racks by Lechner Hall at approximately 8 a.m. on Feb. 2, 2025. The scooter was secured to the bike racks. The victim returned at approximately 10 a.m. on March 1, 2025, to find the scooter missing. The scooter is described as a black-and-orange Segway Ninebot electric scooter. ",
25-0401-0005,4-1-2025,2025-04-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/04/4-1-2025.html,narrative,escooter,2025-04-01T00:10:00,,,,,,True,"On April 1, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen electric scooter. The victim advised that they parked and secured their scooter to the bicycle racks on the east side of Clements Hall with a cable lock at approximately 12:10 a.m. on April 1, 2025. The victim returned at approximately 9:30 a.m. to find the scooter and lock missing. The victim’s scooter is described as a black Isinwheel S10 Plus electric scooter with a yellow stripe on the wheels. ",
25-0425-0009,4-25-2025,2025-04-25,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/04/4-25-2025.html,narrative,unknown,2025-04-24T09:00:00,2025-04-25T15:00:00,30.0,True,Parking Area 7,,True,"On April 25, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen vehicle. The victim parked her vehicle in Parking Area 7 at 9 a.m. on April 24, 2025. The victim discovered the vehicle missing at 3 p.m. on April 25, 2025. The vehicle was locked and the victim had the keys. The victim’s vehicle is described as a black 2012 Jeep Liberty. ",
25-0511-0007,5-11-2025,2025-05-11,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/05/5-11-2025.html,narrative,ebike,2025-05-11T13:00:00,2025-05-11T15:25:00,2.42,True,,,True,"On May 11, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen electric bike. The victim parked his bike on the south side of the Cain Building at approximately 1 p.m. on May 11, 2025. The bike was secured to the bike racks. The victim returned at approximately 3:25 p.m. on May 11, 2025, to find the bike missing. The bike is described as a black-and-blue Lectric XP 2.0. ",
25-0625-0003,6-25-2025,2025-06-25,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/06/6-25-2025.html,narrative,unknown,2025-06-24T20:30:00,,,,the Park West apartments,,True,"On June 25, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen vehicle. The victim parked their vehicle at the Park West apartments on June 24, 2025, at approximately 8:30 p.m. The victim noticed their vehicle was missing at approximately 8:30 a.m. UPD located the vehicle at the Doubletree Condominiums in College Station at approximately 10 a.m. and returned it to its owner. The vehicle had no noticeable damage or property missing. The victim’s vehicle is described as a 2007 white Mercury Montego. UPD is also investigating a vehicle burglary at Park West apartments that occurred during the same time period. ",
25-0630-0004,6-30-2025,2025-06-30,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/06/6-30-2025.html,narrative,escooter,2025-06-28T10:00:00,2025-06-29T12:00:00,26.0,True,Building M of the Garden Apartments,,False,"On June 30, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen electric scooter. The victim reported that they parked and secured their scooter with a cable lock to the bicycle racks outside Building M of the Garden Apartments at approximately 10 a.m. on June 28, 2025. The victim returned at approximately 12 p.m. on June 29, 2025, to find the scooter missing with the cable lock still secured to the bicycle rack. The victim’s scooter is described as a gray GoTrax electric scooter. ",
25-0802-0005,8-2-2025,2025-08-03,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/08/8-2-2025.html,narrative,escooter,2025-08-02T19:15:00,,,,Piada at Century Square,,True,"On Aug. 2, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen electric scooter. The victim reported that they parked and secured their scooter to the bicycle racks outside Piada at Century Square at approximately 7:15 p.m. on Aug. 2, 2025, using a cable lock. The victim returned at approximately 7:30 p.m. to find the scooter missing. The victim’s scooter is described as a black Hiboy S2 Pro. ",
