case_no,alert_key,alert_date,alert_url,source_format,vehicle_type,last_seen,discovered_missing,window_hours,within_window,location_raw,zone_id,needs_review,narrative_text,case_source,zone_name,zone_match_method,zone_match_score
25-0401-0005,4-1-2025,2025-04-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/04/4-1-2025.html,narrative,escooter,2025-04-01T00:10:00,,,,,,True,"On April 1, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen electric scooter. The victim advised that they parked and secured their scooter to the bicycle racks on the east side of Clements Hall with a cable lock at approximately 12:10 a.m. on April 1, 2025. The victim returned at approximately 9:30 a.m. to find the scooter and lock missing. The victim’s scooter is described as a black Isinwheel S10 Plus electric scooter with a yellow stripe on the wheels. ",,,,0.0
25-0425-0009,4-25-2025,2025-04-25,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/04/4-25-2025.html,narrative,unknown,2025-04-24T09:00:00,2025-04-25T15:00:00,30.0,True,Parking Area 7,,True,"On April 25, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen vehicle. The victim parked her vehicle in Parking Area 7 at 9 a.m. on April 24, 2025. The victim discovered the vehicle missing at 3 p.m. on April 25, 2025. The vehicle was locked and the victim had the keys. The victim’s vehicle is described as a black 2012 Jeep Liberty. ",,,,0.0
25-0511-0007,5-11-2025,2025-05-11,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/05/5-11-2025.html,narrative,ebike,2025-05-11T13:00:00,2025-05-11T15:25:00,2.42,True,,,True,"On May 11, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen electric bike. The victim parked his bike on the south side of the Cain Building at approximately 1 p.m. on May 11, 2025. The bike was secured to the bike racks. The victim returned at approximately 3:25 p.m. on May 11, 2025, to find the bike missing. The bike is described as a black-and-blue Lectric XP 2.0. ",,,,0.0
25-0630-0004,6-30-2025,2025-06-30,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/06/6-30-2025.html,narrative,escooter,2025-06-28T10:00:00,2025-06-29T12:00:00,26.0,True,Building M of the Garden Apartments,,False,"On June 30, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen electric scooter. The victim reported that they parked and secured their scooter with a cable lock to the bicycle racks outside Building M of the Garden Apartments at approximately 10 a.m. on June 28, 2025. The victim returned at approximately 12 p.m. on June 29, 2025, to find the scooter missing with the cable lock still secured to the bicycle rack. The victim’s scooter is described as a gray GoTrax electric scooter. ",,,,0.0
25-0802-0005,8-2-2025,2025-08-03,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/08/8-2-2025.html,narrative,escooter,2025-08-02T19:15:00,,,,Piada at Century Square,,True,"On Aug. 2, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen electric scooter. The victim reported that they parked and secured their scooter to the bicycle racks outside Piada at Century Square at approximately 7:15 p.m. on Aug. 2, 2025, using a cable lock. The victim returned at approximately 7:30 p.m. to find the scooter missing. The victim’s scooter is described as a black Hiboy S2 Pro. ",,,,0.0
25-0823-0004,8-27-2025,2025-08-27,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/08/8-27-2025.html,narrative,ebike,,,,,,,True,"On Aug. 23, 2025, the Texas A&M University Police Department (UPD) stopped a subject on an electric bike who was known to have a Criminal Trespass Warning for TAMU property. The subject was arrested for outstanding local warrants and Criminal Trespass. A search of the subject revealed drug paraphernalia and criminal instruments believed to be used to defeat locks. The electric bike was believed to have been stolen and seized by the police. On Aug. 24, 2025, the owner of the electric bike reported it stolen to Texas A&M Police. On Aug. 27, 2025, Texas A&M Police observed the subject again on campus near Hensel Drive riding an electric bike. He was stopped, and the investigation revealed the bike was stolen. He was arrested for Theft, Unlawful Use of a Criminal Instrument, Possession of Drug Paraphernalia, and Disregard of a Stop Sign. The suspect’s name is Jesse Broadway. Broadway is described as a white male, 33 years old, 5’11” tall, 215 lbs., with brown hair and hazel eyes. Broadway has no affiliation with Texas A&M and has an active Criminal Trespass Warning for TAMU property. His photo can be found on the Texas A&M University Police Department’s Facebook and X page. Contact UPD",,,,0.0
25-0905-0016,09-05-2025,2025-09-05,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/09/09-05-2025.html,narrative,unknown,,2025-08-29T14:00:00,,,,,True,"On Sept. 5, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen side-by-side. The victim last observed their side-by-side at the Physical Plant Grounds Maintenance Facility at 3 p.m. on Aug. 28, 2025. The victim discovered the side-by-side missing at 2 p.m. on Aug. 29, 2025. The key was not in the ignition when it was taken. The victim’s side-by-side is described as a green 2023 Kawasaki Mule. ",,,,0.0
25-1001-0003,10-1-2025,2025-10-01,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/10/10-1-2025.html,narrative,escooter,,2025-10-01T08:45:00,,,,,True,"On Oct. 1, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen electric scooter. The victim reported that they secured their scooter with a cable-style lock to a bicycle rack near the north side of Hart Hall at approximately 11 p.m. on Sept. 29, 2025. The victim returned to the bicycle rack on Oct. 1, 2025, at 8:45 a.m. and discovered that the scooter was gone. The victim located the cable-style lock cut and lying on the ground where the scooter had been secured. The victim’s scooter is described as a black, Segway Ninebot E2 electric scooter. ",,,,0.0
25-1011-0034,10-12-2025,2025-10-12,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/10/10-12-2025.html,narrative,unknown,,,,,,,True,"On Oct. 11, 2025, the Texas A&M University Police Department (UPD) recovered two vehicles prior to them being reported stolen. Patrol officers located a University owned Golf Cart at approximately 11 p.m. on the sidewalk along University Drive near Northside Garage. After identifying the victim, they advised that the vehicle was last parked at the Coke Building at 5 p.m. on Friday, Oct. 10, 2025. There was notable damage to the ignition area allowing it to be started. The victim’s vehicle is described as a silver/ grey EZGO Elite Golf Cart with maroon Texas A&M College of Architecture markings. Patrol officers located a second University owned Golf Cart at approximately 11:45 p.m. outside of the covered small vehicle parking area near the Jack K. Williams Administration Building. After identifying that the victim was the same, they advised that the vehicle was also last parked at the Coke Building at 5 p.m. on Friday Oct. 10, 2025. There was no noticeable damage to the vehicle. The victim’s second vehicle is described as a maroon IR Club Car Golf Cart with white Texas A&M lettering. ",,,,0.0
25-1104-0008,11-4-2025-update,2025-11-05,https://upd.tamu.edu/reporting/crime-log-and-alerts/2025/11/11-4-2025-update.html,narrative,unknown,,,,,,,True,"On Nov. 4, 2025, the University Police Department was contacted by a staff member who had seen the recent crime alert. They provided information that led to UPD successfully locating and recovering the golf cart on PA 20. The golf cart will be returned to the victim. This case remains under investigation. Campus crime alerts and timely warnings to the community comply with the federal Jeanne Clery Campus Safety Act (Clery Act). Case 25-1104-0008 On Nov. 4, 2025, the Texas A&M University Police Department (UPD) received a report of a stolen golf cart. The victim reported that the golf cart was parked and secured in PA 102 on Saturday, Nov. 1, 2025. They reported that it was stolen at approximately 2:20 p.m. The golf cart is described as being maroon with an ATM sticker on the front hood, Texas A&M Athletics on the side, black handrails on the back, and a tan top. ",,,,0.0
